CustomerID,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
TEL-8050,Female,0,No,No,38,Yes,No,Two year,No,Mailed check,36.13,1372.94,Yes
TEL-8051,Female,0,No,No,7,Yes,Fiber optic,Month-to-month,No,Mailed check,62.46,437.22,No
TEL-8052,Male,0,No,No,27,Yes,No,One year,Yes,Mailed check,112.66,3041.82,No
TEL-8053,Female,1,Yes,No,70,Yes,No,Two year,No,Bank transfer (automatic),103.98,7278.6,No
TEL-8054,Female,0,No,No,29,Yes,DSL,Two year,Yes,Electronic check,117.44,3405.76,Yes
TEL-8055,Male,1,Yes,No,71,No,No,Two year,Yes,Electronic check,103.5,7348.5,No
TEL-8056,Female,0,Yes,No,9,Yes,No,Month-to-month,No,Bank transfer (automatic),103.94,935.46,No
TEL-8057,Female,1,No,No,13,Yes,No,Month-to-month,Yes,Electronic check,30.52,396.76,No
TEL-8058,Male,0,Yes,No,43,Yes,Fiber optic,Two year,No,Credit card (automatic),98.86,4250.98,No
TEL-8059,Male,1,Yes,Yes,24,Yes,No,Month-to-month,No,Mailed check,56.54,1356.96,Yes
TEL-8060,Female,0,Yes,No,19,Yes,No,Month-to-month,No,Electronic check,79.27,1506.13,No
TEL-8061,Female,0,No,No,56,Yes,DSL,Two year,Yes,Bank transfer (automatic),49.86,2792.16,No
TEL-8062,Male,1,Yes,No,9,Yes,No,Month-to-month,No,Bank transfer (automatic),82.24,740.16,Yes
TEL-8063,Male,0,No,No,28,Yes,Fiber optic,Two year,No,Bank transfer (automatic),73.72,2064.16,No
TEL-8064,Male,0,No,No,22,Yes,DSL,One year,No,Credit card (automatic),100.7,2215.4,Yes
TEL-8065,Male,0,No,No,40,Yes,Fiber optic,One year,Yes,Electronic check,73.82,2952.8,No
TEL-8066,Male,0,Yes,Yes,9,Yes,No,Month-to-month,Yes,Electronic check,36.87,331.83,No
TEL-8067,Male,1,Yes,Yes,40,Yes,No,Two year,No,Mailed check,72.48,2899.2,No
TEL-8068,Female,0,No,No,56,Yes,Fiber optic,Two year,Yes,Mailed check,75.19,4210.64,No
TEL-8069,Male,1,Yes,No,66,No,DSL,Two year,No,Credit card (automatic),96.22,6350.52,No
TEL-8070,Female,0,Yes,No,2,Yes,No,Month-to-month,No,Bank transfer (automatic),111.69,223.38,No
TEL-8071,Female,0,Yes,Yes,18,Yes,No,One year,No,Bank transfer (automatic),87.01,1566.18,No
TEL-8072,Male,1,No,No,16,Yes,Fiber optic,One year,No,Mailed check,117.53,1880.48,No
TEL-8073,Female,1,No,No,24,Yes,DSL,Two year,Yes,Mailed check,69.58,1669.92,No
TEL-8074,Female,0,Yes,No,19,Yes,Fiber optic,One year,No,Electronic check,103.0,1957.0,No
TEL-8075,Female,0,Yes,Yes,13,Yes,DSL,One year,Yes,Mailed check,81.6,1060.8,No
TEL-8076,Male,0,Yes,No,17,Yes,No,Month-to-month,No,Electronic check,117.22,1992.74,No
TEL-8077,Male,1,No,No,22,Yes,Fiber optic,One year,No,Mailed check,84.07,1849.54,No
TEL-8078,Female,1,Yes,No,20,Yes,DSL,One year,Yes,Credit card (automatic),77.03,1540.6,Yes
TEL-8079,Male,1,Yes,Yes,56,Yes,DSL,Two year,Yes,Mailed check,73.39,4109.84,No
TEL-8080,Female,1,No,No,23,Yes,DSL,Month-to-month,No,Credit card (automatic),114.45,2632.35,No
TEL-8081,Male,1,Yes,No,3,Yes,No,Month-to-month,Yes,Mailed check,66.77,200.31,Yes
TEL-8082,Male,0,Yes,No,23,Yes,Fiber optic,Month-to-month,No,Mailed check,62.59,1439.57,No
TEL-8083,Female,0,No,No,47,Yes,No,Two year,No,Mailed check,65.76,3090.72,No
TEL-8084,Female,0,No,No,59,Yes,Fiber optic,Two year,Yes,Credit card (automatic),81.98,4836.82,No
TEL-8085,Male,0,No,No,34,Yes,No,Two year,Yes,Bank transfer (automatic),66.04,2245.36,No
TEL-8086,Male,0,Yes,No,51,Yes,Fiber optic,Two year,Yes,Electronic check,49.95,2547.45,No
TEL-8087,Female,0,Yes,Yes,21,No,DSL,Month-to-month,Yes,Bank transfer (automatic),48.14,1010.94,No
TEL-8088,Male,0,Yes,No,24,Yes,DSL,Two year,No,Credit card (automatic),119.7,2872.8,Yes
TEL-8089,Female,0,Yes,Yes,3,Yes,No,Month-to-month,No,Bank transfer (automatic),104.67,314.01,No
TEL-8090,Female,0,Yes,No,48,Yes,DSL,One year,Yes,Electronic check,66.63,3198.24,Yes
TEL-8091,Female,0,No,No,60,Yes,Fiber optic,Two year,Yes,Credit card (automatic),116.93,7015.8,No
TEL-8092,Female,1,Yes,No,16,Yes,DSL,One year,No,Mailed check,90.91,1454.56,No
TEL-8093,Female,0,No,No,10,Yes,No,Month-to-month,Yes,Bank transfer (automatic),97.38,973.8,Yes
TEL-8094,Male,1,No,No,25,Yes,Fiber optic,One year,No,Mailed check,46.44,1161.0,No
TEL-8095,Male,0,No,No,8,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),105.26,842.08,Yes
TEL-8096,Male,0,No,No,24,Yes,No,Two year,No,Credit card (automatic),116.21,2789.04,No
TEL-8097,Female,0,No,No,17,Yes,DSL,Month-to-month,Yes,Mailed check,97.51,1657.67,Yes
TEL-8098,Female,1,Yes,Yes,23,Yes,DSL,One year,No,Credit card (automatic),92.83,2135.09,No
TEL-8099,Male,0,No,No,30,Yes,No,Two year,No,Mailed check,107.56,3226.8,No
TEL-8100,Female,0,No,No,16,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),93.05,1488.8,No
TEL-8101,Female,1,Yes,Yes,67,Yes,DSL,Two year,No,Mailed check,94.86,6355.62,No
TEL-8102,Male,0,Yes,No,6,Yes,DSL,Month-to-month,No,Bank transfer (automatic),119.59,717.54,No
TEL-8103,Male,1,Yes,Yes,7,Yes,Fiber optic,Month-to-month,No,Electronic check,105.5,738.5,No
TEL-8104,Female,0,No,No,59,Yes,Fiber optic,Two year,Yes,Credit card (automatic),60.96,3596.64,No
TEL-8105,Male,0,No,No,32,Yes,Fiber optic,One year,Yes,Credit card (automatic),99.72,3191.04,No
TEL-8106,Female,1,Yes,Yes,45,Yes,No,Two year,Yes,Electronic check,81.44,3664.8,No
TEL-8107,Male,0,No,No,42,Yes,No,Two year,No,Bank transfer (automatic),88.01,3696.42,No
TEL-8108,Female,1,No,No,6,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),95.49,572.94,No
TEL-8109,Female,0,Yes,No,47,Yes,Fiber optic,One year,Yes,Electronic check,77.15,3626.05,Yes
TEL-8110,Male,0,No,No,26,Yes,Fiber optic,One year,Yes,Mailed check,69.87,1816.62,No
TEL-8111,Male,0,Yes,Yes,42,Yes,No,One year,Yes,Credit card (automatic),114.13,4793.46,No
TEL-8112,Male,1,No,No,64,Yes,Fiber optic,Two year,Yes,Credit card (automatic),111.79,7154.56,No
TEL-8113,Female,0,No,No,28,Yes,DSL,One year,No,Mailed check,30.0,840.0,No
TEL-8114,Male,1,No,No,12,Yes,Fiber optic,One year,No,Electronic check,83.72,1004.64,No
TEL-8115,Female,1,Yes,No,65,Yes,Fiber optic,Two year,No,Electronic check,49.84,3239.6,No
TEL-8116,Female,0,No,No,24,Yes,DSL,One year,No,Electronic check,42.29,1014.96,No
TEL-8117,Female,1,Yes,No,2,Yes,DSL,Month-to-month,No,Electronic check,46.72,93.44,No
TEL-8118,Female,0,Yes,No,16,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),58.03,928.48,Yes
TEL-8119,Male,0,Yes,Yes,2,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),36.41,72.82,Yes
TEL-8120,Female,1,Yes,No,39,Yes,Fiber optic,Two year,Yes,Electronic check,52.23,2036.97,No
TEL-8121,Male,0,No,No,31,Yes,DSL,One year,Yes,Electronic check,86.61,2684.91,No
TEL-8122,Female,0,No,No,22,No,DSL,Month-to-month,No,Credit card (automatic),51.23,1127.06,Yes
TEL-8123,Female,0,No,No,1,Yes,No,Month-to-month,Yes,Credit card (automatic),100.5,100.5,No
TEL-8124,Male,0,Yes,No,63,Yes,No,Two year,Yes,Bank transfer (automatic),35.39,2229.57,No
TEL-8125,Male,0,No,No,11,No,No,Month-to-month,Yes,Credit card (automatic),98.09,1078.99,No
TEL-8126,Female,0,Yes,No,16,Yes,No,Month-to-month,Yes,Credit card (automatic),56.51,904.16,No
TEL-8127,Female,0,No,No,47,Yes,No,One year,No,Bank transfer (automatic),43.94,2065.18,No
TEL-8128,Female,0,No,No,35,Yes,No,Two year,No,Mailed check,107.1,3748.5,No
TEL-8129,Female,0,No,No,33,No,Fiber optic,Two year,Yes,Bank transfer (automatic),66.87,2206.71,No
TEL-8130,Male,0,Yes,No,7,Yes,DSL,Month-to-month,No,Credit card (automatic),38.88,272.16,Yes
TEL-8131,Female,0,No,No,20,Yes,DSL,Month-to-month,No,Mailed check,113.71,2274.2,No
TEL-8132,Male,1,Yes,No,50,Yes,No,Two year,Yes,Bank transfer (automatic),35.24,1762.0,No
TEL-8133,Female,0,Yes,Yes,4,Yes,No,Month-to-month,Yes,Mailed check,64.67,258.68,No
TEL-8134,Male,1,Yes,Yes,46,Yes,No,Two year,Yes,Electronic check,89.86,4133.56,No
TEL-8135,Female,0,Yes,Yes,52,Yes,Fiber optic,Two year,No,Bank transfer (automatic),79.5,4134.0,No
TEL-8136,Female,0,Yes,Yes,13,Yes,No,Month-to-month,No,Credit card (automatic),52.86,687.18,No
TEL-8137,Male,0,No,No,25,Yes,Fiber optic,Two year,Yes,Mailed check,30.58,764.5,No
TEL-8138,Male,0,Yes,No,34,Yes,Fiber optic,One year,Yes,Mailed check,63.03,2143.02,No
TEL-8139,Female,0,No,No,37,Yes,No,Two year,Yes,Credit card (automatic),59.21,2190.77,No
TEL-8140,Male,0,Yes,Yes,48,Yes,DSL,Two year,No,Bank transfer (automatic),112.96,5422.08,No
TEL-8141,Female,1,Yes,Yes,24,Yes,No,Month-to-month,Yes,Credit card (automatic),113.57,2725.68,No
TEL-8142,Male,0,Yes,No,38,Yes,No,Two year,No,Credit card (automatic),95.83,3641.54,No
TEL-8143,Male,0,No,No,37,Yes,Fiber optic,One year,No,Electronic check,37.42,1384.54,Yes
TEL-8144,Female,1,Yes,Yes,47,Yes,Fiber optic,One year,Yes,Mailed check,88.69,4168.43,No
TEL-8145,Female,1,No,No,60,Yes,No,Two year,No,Bank transfer (automatic),67.21,4032.6,No
TEL-8146,Female,0,No,No,12,Yes,Fiber optic,Month-to-month,Yes,Credit card (automatic),86.08,1032.96,No
TEL-8147,Male,0,No,No,24,Yes,DSL,Month-to-month,Yes,Mailed check,96.55,2317.2,No
TEL-8148,Female,0,No,No,31,Yes,Fiber optic,Two year,Yes,Mailed check,32.04,993.24,No
TEL-8149,Female,1,Yes,Yes,25,No,No,Two year,Yes,Bank transfer (automatic),77.4,1935.0,No
TEL-8150,Male,0,Yes,No,3,No,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),89.66,268.98,Yes
TEL-8151,Female,0,No,No,69,Yes,Fiber optic,Two year,Yes,Electronic check,73.61,5079.09,No
TEL-8152,Female,0,Yes,No,43,Yes,Fiber optic,Two year,No,Electronic check,96.99,4170.57,No
TEL-8153,Female,0,Yes,Yes,41,Yes,No,Two year,Yes,Credit card (automatic),53.18,2180.38,No
TEL-8154,Female,0,Yes,No,20,Yes,Fiber optic,One year,No,Mailed check,76.85,1537.0,Yes
TEL-8155,Male,1,No,No,45,Yes,DSL,Two year,Yes,Mailed check,48.6,2187.0,No
TEL-8156,Female,0,No,No,21,Yes,DSL,Month-to-month,Yes,Electronic check,58.56,1229.76,No
TEL-8157,Male,0,No,No,38,Yes,No,One year,Yes,Bank transfer (automatic),114.03,4333.14,No
TEL-8158,Male,0,Yes,No,63,Yes,No,Two year,Yes,Mailed check,85.1,5361.3,No
TEL-8159,Female,0,No,No,17,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),94.07,1599.19,No
TEL-8160,Female,1,Yes,No,2,Yes,DSL,Month-to-month,Yes,Credit card (automatic),113.28,226.56,Yes
TEL-8161,Male,0,Yes,No,43,Yes,Fiber optic,One year,No,Credit card (automatic),109.87,4724.41,No
TEL-8162,Female,0,No,No,71,Yes,No,Two year,Yes,Electronic check,77.26,5485.46,No
TEL-8163,Male,0,No,No,26,Yes,No,Two year,Yes,Electronic check,98.85,2570.1,No
TEL-8164,Female,0,No,No,22,Yes,No,One year,No,Mailed check,112.7,2479.4,No
TEL-8165,Female,0,Yes,No,68,Yes,Fiber optic,Two year,Yes,Credit card (automatic),67.21,4570.28,No
TEL-8166,Male,1,Yes,No,65,Yes,DSL,Two year,Yes,Electronic check,94.64,6151.6,No
TEL-8167,Female,0,Yes,Yes,44,Yes,DSL,One year,Yes,Credit card (automatic),64.07,2819.08,No
TEL-8168,Female,0,Yes,Yes,23,Yes,Fiber optic,Month-to-month,No,Credit card (automatic),57.85,1330.55,Yes
TEL-8169,Male,0,Yes,No,12,Yes,Fiber optic,One year,No,Electronic check,78.91,946.92,No
TEL-8170,Female,1,No,No,17,No,DSL,One year,Yes,Bank transfer (automatic),52.01,884.17,No
TEL-8171,Male,0,No,No,5,Yes,No,Month-to-month,No,Bank transfer (automatic),82.02,410.1,No
TEL-8172,Male,0,No,No,6,Yes,No,Month-to-month,No,Mailed check,89.47,536.82,No
TEL-8173,Female,0,Yes,Yes,35,Yes,DSL,One year,No,Electronic check,98.25,3438.75,No
TEL-8174,Male,0,No,No,50,Yes,No,Two year,Yes,Electronic check,48.8,2440.0,No
TEL-8175,Male,1,No,No,32,Yes,No,One year,Yes,Bank transfer (automatic),119.54,3825.28,No
TEL-8176,Female,1,No,No,20,No,Fiber optic,Month-to-month,Yes,Electronic check,118.12,2362.4,Yes
TEL-8177,Male,0,No,No,14,Yes,No,One year,Yes,Mailed check,102.53,1435.42,No
TEL-8178,Female,0,Yes,No,59,Yes,DSL,Two year,No,Bank transfer (automatic),40.24,2374.16,No
TEL-8179,Male,0,Yes,No,42,Yes,DSL,One year,Yes,Credit card (automatic),88.1,3700.2,No
TEL-8180,Female,1,No,No,27,Yes,Fiber optic,Two year,Yes,Bank transfer (automatic),80.83,2182.41,No
TEL-8181,Female,0,Yes,Yes,13,Yes,Fiber optic,One year,No,Mailed check,86.38,1122.94,No
TEL-8182,Male,0,No,No,26,Yes,DSL,Two year,No,Mailed check,74.72,1942.72,No
TEL-8183,Female,0,No,No,4,Yes,DSL,Month-to-month,No,Electronic check,99.99,399.96,Yes
TEL-8184,Female,0,Yes,No,45,Yes,Fiber optic,One year,Yes,Electronic check,42.89,1930.05,No
TEL-8185,Male,1,No,No,57,Yes,Fiber optic,Two year,No,Electronic check,113.9,6492.3,No
TEL-8186,Male,0,No,No,19,Yes,No,Month-to-month,Yes,Bank transfer (automatic),110.28,2095.32,No
TEL-8187,Female,0,No,No,31,Yes,DSL,Two year,Yes,Electronic check,54.62,1693.22,No
TEL-8188,Female,0,No,No,23,Yes,No,Month-to-month,No,Electronic check,52.02,1196.46,No
TEL-8189,Female,1,Yes,No,15,Yes,DSL,One year,Yes,Credit card (automatic),37.74,566.1,Yes
TEL-8190,Female,0,No,No,24,Yes,No,One year,No,Electronic check,102.83,2467.92,No
TEL-8191,Male,1,Yes,No,65,Yes,Fiber optic,Two year,Yes,Mailed check,72.34,4702.1,No
TEL-8192,Female,0,No,No,23,Yes,Fiber optic,Month-to-month,No,Bank transfer (automatic),100.98,2322.54,No
TEL-8193,Male,1,Yes,No,22,Yes,Fiber optic,One year,Yes,Mailed check,84.39,1856.58,No
TEL-8194,Male,0,Yes,Yes,53,Yes,Fiber optic,Two year,Yes,Mailed check,51.46,2727.38,No
TEL-8195,Female,0,No,No,23,Yes,Fiber optic,Month-to-month,Yes,Bank transfer (automatic),81.04,1863.92,No
TEL-8196,Male,1,Yes,Yes,32,Yes,Fiber optic,One year,Yes,Credit card (automatic),45.85,1467.2,No
TEL-8197,Female,0,No,No,66,Yes,DSL,Two year,Yes,Electronic check,103.52,6832.32,No
TEL-8198,Female,0,No,No,60,Yes,DSL,Two year,No,Bank transfer (automatic),91.33,5479.8,No
TEL-8199,Female,1,No,No,19,No,No,Month-to-month,No,Mailed check,66.37,1261.03,Yes
TEL-8200,Male,0,No,No,10,Yes,DSL,Month-to-month,No,Credit card (automatic),68.84,688.4,No
